Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
06/10/1990;2,5;7,7;0;32,5;null;23,4;null;70;3,2
07/10/1990;1,5;7,2;5,6;32,4;26,48;22,6;82;67;1,6
08/10/1990;2,5;8;16,2;31,7;26,82;22,2;76,5;67;2,2
09/10/1990;2,8;7,4;0;32,3;26,66;22,6;82,5;66;0,833333
10/10/1990;2,2;6,6;4,2;31,5;26,84;22,6;84,25;78;2,966667
11/10/1990;1,8;9,3;9,3;32,8;27,12;22,2;76,75;70;2,133333
12/10/1990;3;9,8;0;33,5;27,38;22;71,25;55;2,566667
13/10/1990;3;7,9;0;33;26,92;22;83;66;1,9
14/10/1990;2,3;6,3;16,8;31,9;26,7;22,4;80,75;70;2,4
15/10/1990;2;8,9;0,1;32,5;16,46;22,2;null;55;2,55
16/10/1990;3,4;7,6;0;32,9;26,7;22;79,75;67;3,1
17/10/1990;2;8,7;1,8;32,5;26,78;21;80,75;68;1,933333
